指数代码,交易日期,开盘价,收盘价,最低价,最高价,成交量,成交额,涨跌幅
sz399005,2013-01-31,4253.42,4471.13,4117.59,4585.48,205909483.0,2.664027077e+11,0.0553580701506
sz399005,2013-02-28,4457.09,4656.51,4424.07,4712.0,131741394.0,1.795225652e+11,0.0414615544616
sz399005,2013-03-31,4650.84,4614.6,4459.71,4786.87,164629966.0,2.237919241e+11,-0.00900030280188
sz399005,2013-04-30,4611.14,4481.2,4388.56,4696.11,115308527.0,1.701587094e+11,-0.0289082477354
sz399005,2013-05-31,4437.09,5131.98,4423.07,5218.61,234147583.0,3.353068633e+11,0.145224493439
sz399005,2013-06-30,5125.3,4456.56,4040.92,5147.61,158863905.0,2.224149658e+11,-0.131610021863
sz399005,2013-07-31,4433.81,4623.88,4418.98,4950.68,240422396.0,3.504354209e+11,0.0375446532752
sz399005,2013-08-31,4635.31,4861.34,4630.05,5071.7,249698676.0,3.483020673e+11,0.0513551389742
sz399005,2013-09-30,4860.56,5234.51,4854.71,5294.86,221956668.0,3.084698602e+11,0.0767627855694
sz399005,2013-10-31,5245.07,4889.05,4816.83,5415.02,221718715.0,3.234521199e+11,-0.0659966262363
sz399005,2013-11-30,4870.72,5121.59,4725.48,5141.05,187438401.0,2.601402141e+11,0.0475634325687
sz399005,2013-12-31,5009.12,4979.86,4794.74,5080.31,177721244.0,2.562546653e+11,-0.0276730468468
sz399005,2014-01-31,4975.65,5030.2,4781.96,5133.83,205982835.0,3.172741914e+11,0.0101087179158
sz399005,2014-02-28,4995.43,5029.2,4902.59,5426.09,216197721.0,3.470612645e+11,-0.000198799252515
sz399005,2014-03-31,5041.11,4595.02,4572.17,5098.2,200154188.0,2.886010342e+11,-0.0863318221586
sz399005,2014-04-30,4590.68,4552.27,4459.28,4880.41,150523350.0,2.16189889e+11,-0.0093035503654
sz399005,2014-05-31,4545.27,4651.8,4432.71,4704.88,138177556.0,1.941131327e+11,0.0218638173922
sz399005,2014-06-30,4654.15,4794.72,4556.45,4794.72,164586311.0,2.411972111e+11,0.0307235908681
sz399005,2014-07-31,4797.6,4950.72,4621.12,4950.72,248657190.0,3.896478844e+11,0.0325357893683
sz399005,2014-08-31,4930.26,5203.03,4886.17,5272.94,275496798.0,4.334799593e+11,0.050964304182
sz399005,2014-09-30,5213.77,5604.8,5213.77,5621.01,344451616.0,5.684687502e+11,0.0772184669318
sz399005,2014-10-31,5625.93,5557.58,5369.27,5696.19,249731574.0,4.255491417e+11,-0.00842492149586
sz399005,2014-11-30,5556.67,5587.2,5272.45,5605.65,304215675.0,4.763731519e+11,0.00532965787267
sz399005,2014-12-31,5578.65,5461.19,5380.07,5898.03,492087812.0,8.274939407e+11,-0.022553336197
