指数代码,交易日期,开盘价,收盘价,最低价,最高价,成交量,成交额,涨跌幅
sz399001,2013-01-31,9204.11,9667.67,8976.02,9804.73,220119132.0,3.173685208e+11,0.0604608357612
sz399001,2013-02-28,9648.92,9641.44,9193.93,10057.97,162829388.0,2.391398949e+11,-0.00271316666787
sz399001,2013-03-31,9630.87,8889.77,8879.29,9679.45,185634144.0,2.621122615e+11,-0.0779624205513
sz399001,2013-04-30,8901.64,8691.39,8645.19,9142.9,126946205.0,1.872903612e+11,-0.0223155379723
sz399001,2013-05-31,8643.9,9257.95,8597.71,9511.18,176104666.0,2.533457655e+11,0.06518635109
sz399001,2013-06-30,9259.48,7694.47,7045.6,9345.66,145927244.0,1.739023718e+11,-0.168879719592
sz399001,2013-07-31,7649.3,7765.4,7544.78,8281.55,294021964.0,2.664334686e+11,0.00921830873342
sz399001,2013-08-31,7819.45,8202.48,7789.93,8476.05,291399564.0,2.65709571e+11,0.0562855744714
sz399001,2013-09-30,8214.95,8514.57,8148.17,8766.7,297187740.0,2.87452483e+11,0.0380482488223
sz399001,2013-10-31,8505.11,8444.41,8214.54,8815.75,279347645.0,2.683959864e+11,-0.00823999332908
sz399001,2013-11-30,8433.76,8542.61,8054.96,8630.38,232498056.0,2.207743268e+11,0.0116289948025
sz399001,2013-12-31,8461.49,8121.79,7887.37,8648.01,210459405.0,2.013594238e+11,-0.0492612913384
sz399001,2014-01-31,8083.77,7572.63,7477.79,8124.56,201306236.0,1.958126077e+11,-0.0676156364545
sz399001,2014-02-28,7515.09,7365.93,7174.33,7997.02,251069279.0,2.360056361e+11,-0.0272956687439
sz399001,2014-03-31,7349.95,7189.58,6959.25,7410.66,236319643.0,2.347664505e+11,-0.023941308158
sz399001,2014-04-30,7184.07,7312.86,7177.85,7618.57,199337445.0,2.056887452e+11,0.0171470377964
sz399001,2014-05-31,7289.24,7364.83,7075.32,7432.35,169031160.0,1.519040989e+11,0.00710665868073
sz399001,2014-06-30,7365.61,7343.28,7134.54,7433.54,160746747.0,1.527608436e+11,-0.00292606889772
sz399001,2014-07-31,7340.59,7956.91,7146.45,7957.46,290596529.0,3.048173328e+11,0.083563475722
sz399001,2014-08-31,7919.78,7841.7,7735.68,8074.42,332653177.0,3.318473068e+11,-0.0144792388
sz399001,2014-09-30,7852.91,8080.35,7852.87,8251.06,384661932.0,3.757177923e+11,0.0304334519301
sz399001,2014-10-31,8134.37,8225.61,7803.46,8260.23,363124470.0,3.354650454e+11,0.017976944068
sz399001,2014-11-30,8245.03,9002.23,8137.42,9010.17,510098530.0,5.26633561e+11,0.0944148823005
sz399001,2014-12-31,9029.64,11014.62,9027.3,11050.85,1046761338.0,1.339739351e+12,0.223543499777
