指数代码,交易日期,开盘价,收盘价,最低价,最高价,成交量,成交额,涨跌幅
sh000300,2013-01-31,2551.81,2686.88,2473.7,2696.88,1718450107.0,1.7392784356e+12,0.0649755246834
sh000300,2013-02-28,2677.19,2673.33,2564.67,2791.3,1269397786.0,1.3297067409e+12,-0.005043023879
sh000300,2013-03-31,2671.84,2495.08,2482.49,2680.85,1478617056.0,1.508941497e+12,-0.0666771404952
sh000300,2013-04-30,2486.43,2447.31,2416.62,2542.45,943485320.0,9.542807006e+11,-0.0191456786957
sh000300,2013-05-31,2434.6,2606.43,2423.08,2661.23,1436620078.0,1.4911068203e+12,0.0650183262439
sh000300,2013-06-30,2605.97,2200.64,2023.17,2625.94,1106495249.0,1.0216654405e+12,-0.155688048403
sh000300,2013-07-31,2187.09,2193.02,2149.79,2351.22,1498996413.0,1.3870458995e+12,-0.00346262905337
sh000300,2013-08-31,2206.0,2313.91,2200.63,2423.08,1582091144.0,1.4741348846e+12,0.0551248962618
sh000300,2013-09-30,2319.96,2409.04,2297.45,2527.38,1858796422.0,1.701308384e+12,0.0411122299484
sh000300,2013-10-31,2406.42,2373.72,2327.9,2483.13,1507848110.0,1.4114601946e+12,-0.0146614419022
sh000300,2013-11-30,2373.96,2438.94,2279.01,2460.56,1428074509.0,1.3485554543e+12,0.0274758606744
sh000300,2013-12-31,2423.97,2330.03,2259.58,2486.64,1345912034.0,1.2822148825e+12,-0.0446546450507
sh000300,2014-01-31,2323.43,2202.45,2156.46,2325.99,1118732595.0,1.0597540105e+12,-0.0547546598112
sh000300,2014-02-28,2187.34,2178.97,2133.55,2331.7,1356909443.0,1.2621935546e+12,-0.010660854957
sh000300,2014-03-31,2173.91,2146.31,2077.76,2194.22,1461971622.0,1.2640322551e+12,-0.0149887332088
sh000300,2014-04-30,2143.72,2158.66,2131.78,2290.74,1303843569.0,1.1725909062e+12,0.00575406162204
sh000300,2014-05-31,2152.59,2156.46,2096.51,2185.05,942772841.0,8.005806016e+11,-0.00101915076946
sh000300,2014-06-30,2157.64,2165.12,2117.31,2196.34,919315849.0,8.182992907e+11,0.00401584077609
sh000300,2014-07-31,2169.2,2350.25,2134.8,2350.55,1837613459.0,1.5680079028e+12,0.0855056532663
sh000300,2014-08-31,2341.23,2338.29,2309.64,2380.77,2064895322.0,1.8125711948e+12,-0.00508882033826
sh000300,2014-09-30,2340.93,2450.99,2338.53,2462.67,2494982496.0,2.2083340051e+12,0.0481976144961
sh000300,2014-10-31,2460.87,2508.33,2361.68,2512.19,2310795914.0,1.9513365837e+12,0.0233946282931
sh000300,2014-11-30,2515.82,2808.82,2482.98,2809.54,4160762079.0,3.6277416191e+12,0.119796836939
sh000300,2014-12-31,2825.61,3533.71,2804.29,3542.34,9249541187.0,1.00169756279e+13,0.258076345227
